device_id,phase_type,box_no
GP7629889,1 Phase,3256
GP7629890,1 Phase,3256
GP7629891,1 Phase,3257
GP7629892,1 Phase,3257
GP7629893,1 Phase,3257
GP7629894,1 Phase,3257
GP7629895,1 Phase,3257
GP7629896,1 Phase,3257
GP7629897,1 Phase,3257
GP7629898,1 Phase,3257
GP7629899,1 Phase,3258
GP7629900,1 Phase,3258
GP7629901,1 Phase,3258
GP7629902,1 Phase,3258
GP7629904,1 Phase,3258
GP7629905,1 Phase,3258
GP7629906,1 Phase,3258
GP7629907,1 Phase,3259
GP7629908,1 Phase,3259
GP7629909,1 Phase,3259
GP7629910,1 Phase,3259
GP7629911,1 Phase,3259
GP7629912,1 Phase,3259
GP7629913,1 Phase,3259
GP7629914,1 Phase,3259
GP7629915,1 Phase,3260
GP7629916,1 Phase,3260
GP7629917,1 Phase,3260
GP7629918,1 Phase,3260
GP7629919,1 Phase,3260
GP7629920,1 Phase,3260
GP7629921,1 Phase,3260
GP7629922,1 Phase,3260
GP7629923,1 Phase,3261
GP7629924,1 Phase,3261
GP7629925,1 Phase,3261
GP7629926,1 Phase,3261
GP7629927,1 Phase,3261
GP7629928,1 Phase,3261
GP7629929,1 Phase,3261
GP7629930,1 Phase,3261
GP7629931,1 Phase,3262
GP7629932,1 Phase,3262
GP7629934,1 Phase,3262
GP7629935,1 Phase,3262
GP7629936,1 Phase,3262
GP7629937,1 Phase,3262
GP7629938,1 Phase,3262
GP7629939,1 Phase,3263
GP7629940,1 Phase,3263
GP7629941,1 Phase,3263
GP7629942,1 Phase,3263
GP7629943,1 Phase,3263
GP7629944,1 Phase,3263
GP7629945,1 Phase,3263
GP7629946,1 Phase,3263
GP7629947,1 Phase,3264
GP7629948,1 Phase,3264
GP7629949,1 Phase,3264
GP7629950,1 Phase,3264
GP7629951,1 Phase,3264
GP7629952,1 Phase,3264
GP7629954,1 Phase,3264
GP7629955,1 Phase,3265
GP7629956,1 Phase,3265
GP7629957,1 Phase,3265
GP7629958,1 Phase,3265
GP7629959,1 Phase,3265
GP7629960,1 Phase,3265
GP7629961,1 Phase,3265
GP7629962,1 Phase,3265
GP7629963,1 Phase,3266
GP7629964,1 Phase,3266
GP7629966,1 Phase,3266
GP7629967,1 Phase,3266
GP7629968,1 Phase,3266
GP7629969,1 Phase,3266
GP7629970,1 Phase,3266
GP7629971,1 Phase,3267
GP7629972,1 Phase,3267
GP7629973,1 Phase,3267
GP7629974,1 Phase,3267
GP7629975,1 Phase,3267
GP7629976,1 Phase,3267
GP7629978,1 Phase,3267
GP7629979,1 Phase,3268
GP7629980,1 Phase,3268
GP7629981,1 Phase,3268
GP7629982,1 Phase,3268
GP7629983,1 Phase,3268
GP7629984,1 Phase,3268
GP7629985,1 Phase,3268
GP7629986,1 Phase,3268
GP7629987,1 Phase,3269
GP7629988,1 Phase,3269
GP7629990,1 Phase,3269
GP7629991,1 Phase,3269
GP7629992,1 Phase,3269
GP7629993,1 Phase,3269
GP7629994,1 Phase,3269
GP7629995,1 Phase,3270
GP7629996,1 Phase,3270
GP7629997,1 Phase,3270
GP7629998,1 Phase,3270
GP7629999,1 Phase,3270
GP7630000,1 Phase,3270
GP7630001,1 Phase,3270
GP7630002,1 Phase,3270
GP7630004,1 Phase,3271
GP7630005,1 Phase,3271
GP7630006,1 Phase,3271
GP7630007,1 Phase,3271
GP7630008,1 Phase,3271
GP7630009,1 Phase,3271
GP7630010,1 Phase,3271
GP7630011,1 Phase,3272
GP7630012,1 Phase,3272
GP7630013,1 Phase,3272
GP7630014,1 Phase,3272
GP7630015,1 Phase,3272
GP7630016,1 Phase,3272
GP7630017,1 Phase,3272
GP7630018,1 Phase,3272
GP7630019,1 Phase,3273
GP7630020,1 Phase,3273
GP7630021,1 Phase,3273
GP7630022,1 Phase,3273
GP7630023,1 Phase,3273
GP7630024,1 Phase,3273
GP7630025,1 Phase,3273
GP7630026,1 Phase,3273
GP7630027,1 Phase,3274
GP7630028,1 Phase,3274
GP7630029,1 Phase,3274
GP7630030,1 Phase,3274
GP7630031,1 Phase,3274
GP7630032,1 Phase,3274
GP7630033,1 Phase,3274
GP7630034,1 Phase,3274
GP7630035,1 Phase,3275
GP7630036,1 Phase,3275
GP7630037,1 Phase,3275
GP7630038,1 Phase,3275
GP7630039,1 Phase,3275
GP7630040,1 Phase,3275
GP7630041,1 Phase,3275
GP7630043,1 Phase,3276
GP7630044,1 Phase,3276
GP7630045,1 Phase,3276
GP7630046,1 Phase,3276
GP7630047,1 Phase,3276
GP7630048,1 Phase,3276
GP7630049,1 Phase,3276
GP7630050,1 Phase,3276
GP7630051,1 Phase,3277
GP7630052,1 Phase,3277
GP7630053,1 Phase,3277
GP7630054,1 Phase,3277
GP7630055,1 Phase,3277
GP7630056,1 Phase,3277
GP7630057,1 Phase,3277
GP7630058,1 Phase,3277
GP7630059,1 Phase,3278
GP7630060,1 Phase,3278
GP7630061,1 Phase,3278
GP7630062,1 Phase,3278
GP7630063,1 Phase,3278
GP7630064,1 Phase,3278
GP7630065,1 Phase,3278
GP7630066,1 Phase,3278
GP7630067,1 Phase,3279
GP7630068,1 Phase,3279
GP7630069,1 Phase,3279
GP7630070,1 Phase,3279
GP7630071,1 Phase,3279
GP7630072,1 Phase,3279
GP7630073,1 Phase,3279
GP7630074,1 Phase,3279
GP7630075,1 Phase,3280
